participant.id_in_session,participant.code,participant.label,participant._is_bot,participant._index_in_pages,participant._max_page_index,participant._current_app_name,participant._current_page_name,participant.time_started_utc,participant.visited,participant.mturk_worker_id,participant.mturk_assignment_id,participant.payoff,player.id_in_group,player.role,player.payoff,player.choice1,player.choice2,player.computer_choice1,player.computer_choice2,player.bet1,player.bet2,player.left_image,player.right_image,player.trial_reward,player.chosen_image_one,player.chosen_image_one_binary,player.chosen_image_two,player.chosen_image_two_binary,player.choice1_with,player.choice1_against,player.choice2_with,player.choice2_against,player.chosen_image_computer,player.chosen_image_computer_two,player.choice1_accuracy,player.choice2_accuracy,player.choice1_accuracy_sum,player.choice2_accuracy_sum,player.switch_vs_stay,player.choice1_reward_binary,player.choice2_reward_binary,player.choice1_reward_binary_sum,player.choice2_reward_binary_sum,player.my_page_load_time,player.individual_page_load_time,player.initial_choice_time,player.initial_bet_time,player.second_choice_time,player.second_bet_time,player.choice1_earnings,player.choice2_earnings,player.choice1_sum_earnings,player.choice2_sum_earnings,player.bonus_payment_score,player.base_payoff,player.bonus_payoff,player.total_payoff,player.loss_or_gain,player.computer_choice_one,player.computer_bet_one,player.computer_choice_two,player.computer_bet_two,player.player1_choice_one,player.player2_choice_one,player.player3_choice_one,player.player4_choice_one,player.player1_choice_two,player.player2_choice_two,player.player3_choice_two,player.player4_choice_two,player.player1_choice1_accuracy,player.player2_choice1_accuracy,player.player3_choice1_accuracy,player.player4_choice1_accuracy,player.player1_choice2_accuracy,player.player2_choice2_accuracy,player.player3_choice2_accuracy,player.player4_choice2_accuracy,player.player1_loss_or_gain,player.player2_loss_or_gain,player.player3_loss_or_gain,player.player4_loss_or_gain,player.player1_choice1_computer,player.player2_choice1_computer,player.player3_choice1_computer,player.player4_choice1_computer,player.player1_choice2_computer,player.player2_choice2_computer,player.player3_choice2_computer,player.player4_choice2_computer,player.manual_second_choice,player.disconnection_streak,player.is_bot,player.last_connection_time,player.last_check_time,player.consecutive_missed_checks,group.id_in_subsession,group.current_round,group.trial_number,group.my_page_load_time,group.round_reward_A,group.round_reward_B,group.intertrial_interval,group.second_bet_timer_ended_executed,group.next_round_transition_time,group.reward_probability_A,group.reward_probability_B,group.seventy_percent_image,group.thirty_percent_image,group.reversal_rounds,group.bet_container_displayed,group.remaining_images_displayed,group.reversal_happened,group.round_reward_set,group.all_players_loaded,group.players_loaded_count,group.disconnected_players,group.bot_players,group.active_bots,group.disconnection_streaks,subsession.round_number,session.code,session.label,session.mturk_HITId,session.mturk_HITGroupId,session.comment,session.is_demo
11,xpajo5aj,617470f0ed966e30b2f8a11b,0,29,278,practice_task,MyPage,2025-02-07 12:05:50.609542,1,,,0.0,11,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
12,9573db4h,672b5260396b3b084c19fecb,0,12,278,practice_task,WaitPage1,2025-02-07 12:13:26.071628,1,,,0.0,12,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
13,27fqozkd,5eceb8411480c30fb89c7c54,0,12,278,practice_task,WaitPage1,2025-02-07 12:22:48.300454,1,,,0.0,13,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
14,6mb8bzbd,,0,0,278,,,,0,,,0.0,14,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
15,7z6kh0eq,,0,0,278,,,,0,,,0.0,15,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
16,l12b1dxh,,0,0,278,,,,0,,,0.0,16,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
17,o3yzeup1,,0,0,278,,,,0,,,0.0,17,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
18,qk4wjty2,,0,0,278,,,,0,,,0.0,18,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
19,w2lpvzv3,,0,0,278,,,,0,,,0.0,19,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
20,clzat9eu,,0,0,278,,,,0,,,0.0,20,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},18,a3x1c739,,,,,0
1,djfcv4qm,59b69d4fb269ef0001801733,0,278,278,submission,Submit,2025-02-07 12:02:53.410265,1,,,0.0,5,,0.0,left,left,,,3,3,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,3,1,,,0,0,13,15,0,0,0,9,11,1.26,1.26,0.56,0.36,0.41,0.46,-60,-60,-20,220,-20,10.0,0.0,0.0,-1,0,0,0,0,1,1,1,2,1,1,1,2,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1738930985.5748413,1738931005.9234424,0,2,1,19,1.6,0,1,5000,1,1738931008492.8164,0.3,0.7,option1B.bmp,option1A.bmp,,0,1,0,1,0,0,,,,{},19,a3x1c739,,,,,0
2,gyubbbth,672a3488a8bffdf9dac2b72f,0,278,278,submission,Submit,2025-02-07 12:03:00.844013,1,,,0.0,1,,0.0,left,left,,,2,2,option1A.bmp,option1B.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,3,1,,,0,0,12,11,0,0,0,14,11,1.34,1.34,0.7,0.43,0.7,0.68,-40,-40,360,160,340,10.0,0.0,0.0,-1,0,0,0,0,1,1,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1738930985.7760196,1738930995.9778745,0,2,1,19,1.6,0,1,5000,1,1738931008492.8164,0.3,0.7,option1B.bmp,option1A.bmp,,0,1,0,1,0,0,,,,{},19,a3x1c739,,,,,0
3,gunf45xl,587b7ab8c192390001d60136,0,278,278,submission,Submit,2025-02-07 12:03:08.070959,1,,,0.0,4,,0.0,left,left,,,2,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0,4,0,4,,,1,1,12,6,0,1,1,14,10,1.44,1.44,1.38,0.55,0.87,0.67,40,60,400,40,220,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1738930985.8570836,1738931006.0933645,0,2,1,19,1.6,0,1,5000,1,1738931008492.8164,0.3,0.7,option1B.bmp,option1A.bmp,,0,1,0,1,0,0,,,,{},19,a3x1c739,,,,,0
4,8g9qhxee,5e9b60ab511e7a0650994050,0,278,278,submission,Submit,2025-02-07 12:03:08.778434,1,,,0.0,3,,0.0,right,right,,,3,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,3,1,,,0,0,15,14,0,0,0,13,12,1.26,1.26,0.53,0.9,0.8,3.0,-60,-40,360,340,320,10.0,0.0,0.0,-1,0,0,0,1,1,1,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1738930985.7118607,1738930995.9140718,0,2,1,19,1.6,0,1,5000,1,1738931008492.8164,0.3,0.7,option1B.bmp,option1A.bmp,,0,1,0,1,0,0,,,,{},19,a3x1c739,,,,,0
5,myjr2c4x,665ad886225977530cd6579c,0,278,278,submission,Submit,2025-02-07 12:03:11.415996,1,,,0.0,2,,0.0,right,right,,,3,3,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,3,1,,,0,0,14,14,0,0,0,12,10,1.6,1.6,1.25,0.81,0.56,0.42,-60,-60,140,20,80,10.0,0.0,0.0,-1,0,0,0,0,1,1,2,1,1,1,2,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1738930985.9533725,1738931006.2464125,0,2,1,19,1.6,0,1,5000,1,1738931008492.8164,0.3,0.7,option1B.bmp,option1A.bmp,,0,1,0,1,0,0,,,,{},19,a3x1c739,,,,,0
6,go189rwb,5e10d9187f08ed7b5d86a277,0,37,278,main_task,WaitPage2,2025-02-07 12:03:15.858250,1,,,0.0,6,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
7,ybda36no,6687ef9bb3207f5e525c1a82,0,37,278,main_task,WaitPage2,2025-02-07 12:03:27.474693,1,,,0.0,7,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
8,7b05a74j,64772fe9752146745277bc45,0,12,278,practice_task,WaitPage1,2025-02-07 12:03:37.734501,1,,,0.0,8,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
9,0pa7dr0k,5714e0958adadb00098deed4,0,37,278,main_task,WaitPage2,2025-02-07 12:04:23.272443,1,,,0.0,9,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
10,o7fiy9x2,5ea159434ac916016387488e,0,37,278,main_task,WaitPage2,2025-02-07 12:04:39.254579,1,,,0.0,10,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
11,xpajo5aj,617470f0ed966e30b2f8a11b,0,29,278,practice_task,MyPage,2025-02-07 12:05:50.609542,1,,,0.0,11,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
12,9573db4h,672b5260396b3b084c19fecb,0,12,278,practice_task,WaitPage1,2025-02-07 12:13:26.071628,1,,,0.0,12,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
13,27fqozkd,5eceb8411480c30fb89c7c54,0,12,278,practice_task,WaitPage1,2025-02-07 12:22:48.300454,1,,,0.0,13,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
14,6mb8bzbd,,0,0,278,,,,0,,,0.0,14,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
15,7z6kh0eq,,0,0,278,,,,0,,,0.0,15,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
16,l12b1dxh,,0,0,278,,,,0,,,0.0,16,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
17,o3yzeup1,,0,0,278,,,,0,,,0.0,17,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
18,qk4wjty2,,0,0,278,,,,0,,,0.0,18,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
19,w2lpvzv3,,0,0,278,,,,0,,,0.0,19,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
20,clzat9eu,,0,0,278,,,,0,,,0.0,20,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},19,a3x1c739,,,,,0
1,djfcv4qm,59b69d4fb269ef0001801733,0,278,278,submission,Submit,2025-02-07 12:02:53.410265,1,,,0.0,5,,0.0,left,right,,,3,3,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,3,1,2,2,,,0,1,13,16,1,0,1,9,12,1.27,1.27,1.14,0.49,1.32,0.33,-60,60,-80,280,40,10.0,0.0,0.0,1,0,0,0,0,1,2,1,1,1,2,2,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,1738931009.6701732,1738931019.9650488,0,2,1,20,1.59,0,1,5000,1,1738931032545.423,0.3,0.7,option1B.bmp,option1A.bmp,,1,1,0,1,0,0,,,,{},20,a3x1c739,,,,,0
2,gyubbbth,672a3488a8bffdf9dac2b72f,0,278,278,submission,Submit,2025-02-07 12:03:00.844013,1,,,0.0,1,,0.0,right,right,,,3,1,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,1,3,,,0,0,12,11,0,0,0,14,11,1.35,1.35,0.78,0.54,0.37,0.26,-60,-20,300,140,320,10.0,0.0,0.0,-1,0,0,0,0,2,1,1,1,2,2,1,2,1,0,0,0,1,1,0,1,1,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1738931009.7975144,1738931020.057172,0,2,1,20,1.59,0,1,5000,1,1738931032545.423,0.3,0.7,option1B.bmp,option1A.bmp,,1,1,0,1,0,0,,,,{},20,a3x1c739,,,,,0
3,gunf45xl,587b7ab8c192390001d60136,0,278,278,submission,Submit,2025-02-07 12:03:08.070959,1,,,0.0,4,,0.0,right,right,,,2,2,option1B.bmp,option1A.bmp,0,option1A.bmp,1,option1A.bmp,1,3,1,1,3,,,0,0,12,6,0,0,0,14,10,1.43,1.43,1.65,0.63,0.59,0.45,-40,-40,360,0,180,10.0,0.0,0.0,-1,0,0,0,0,1,2,1,1,1,2,2,2,0,1,0,0,0,1,1,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,1738931009.9520311,1738931030.1567245,0,2,1,20,1.59,0,1,5000,1,1738931032545.423,0.3,0.7,option1B.bmp,option1A.bmp,,1,1,0,1,0,0,,,,{},20,a3x1c739,,,,,0
4,8g9qhxee,5e9b60ab511e7a0650994050,0,278,278,submission,Submit,2025-02-07 12:03:08.778434,1,,,0.0,3,,0.0,left,,,right,3,1,option1A.bmp,option1B.bmp,1,option1A.bmp,1,option1B.bmp,2,3,1,2,2,,option1B_tr.bmp,0,1,15,15,1,0,1,13,13,1.37,1.37,1.15,2.01,3.0,3.0,-60,20,300,360,340,10.0,0.0,0.0,1,0,0,1,1,1,2,1,1,1,2,1,2,0,1,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1738931009.8769581,1738931020.1135623,0,2,1,20,1.59,0,1,5000,1,1738931032545.423,0.3,0.7,option1B.bmp,option1A.bmp,,1,1,0,1,0,0,,,,{},20,a3x1c739,,,,,0
5,myjr2c4x,665ad886225977530cd6579c,0,278,278,submission,Submit,2025-02-07 12:03:11.415996,1,,,0.0,2,,0.0,left,left,,,3,3,option1B.bmp,option1A.bmp,1,option1B.bmp,2,option1B.bmp,2,0,4,2,2,,,1,1,15,15,0,1,1,13,11,1.59,1.59,1.58,0.78,0.37,0.56,60,60,200,80,140,10.0,0.0,0.0,1,0,0,0,0,1,1,1,1,1,2,1,2,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1738931010.0314653,1738931020.3094623,0,2,1,20,1.59,0,1,5000,1,1738931032545.423,0.3,0.7,option1B.bmp,option1A.bmp,,1,1,0,1,0,0,,,,{},20,a3x1c739,,,,,0
6,go189rwb,5e10d9187f08ed7b5d86a277,0,37,278,main_task,WaitPage2,2025-02-07 12:03:15.858250,1,,,0.0,6,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
7,ybda36no,6687ef9bb3207f5e525c1a82,0,37,278,main_task,WaitPage2,2025-02-07 12:03:27.474693,1,,,0.0,7,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
8,7b05a74j,64772fe9752146745277bc45,0,12,278,practice_task,WaitPage1,2025-02-07 12:03:37.734501,1,,,0.0,8,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
9,0pa7dr0k,5714e0958adadb00098deed4,0,37,278,main_task,WaitPage2,2025-02-07 12:04:23.272443,1,,,0.0,9,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
10,o7fiy9x2,5ea159434ac916016387488e,0,37,278,main_task,WaitPage2,2025-02-07 12:04:39.254579,1,,,0.0,10,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
11,xpajo5aj,617470f0ed966e30b2f8a11b,0,29,278,practice_task,MyPage,2025-02-07 12:05:50.609542,1,,,0.0,11,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
12,9573db4h,672b5260396b3b084c19fecb,0,12,278,practice_task,WaitPage1,2025-02-07 12:13:26.071628,1,,,0.0,12,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
13,27fqozkd,5eceb8411480c30fb89c7c54,0,12,278,practice_task,WaitPage1,2025-02-07 12:22:48.300454,1,,,0.0,13,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
14,6mb8bzbd,,0,0,278,,,,0,,,0.0,14,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
15,7z6kh0eq,,0,0,278,,,,0,,,0.0,15,,0.0,,,,,0,0,,,0,,1,,1,0,0,0,0,,,0,0,0,0,,0,0,0,0,,,,,,,0,0,0,0,0,10.0,0.0,0.0,,1,0,1,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0.0,0.0,0,1,1,1,,,,0,0,,0.7,0.3,option1A.bmp,option1B.bmp,,0,0,0,0,0,0,,,,{},20,a3x1c739,,,,,0
